         1649406 function calls (1623185 primitive calls) in 28.407 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   24.914   24.914   24.914   24.914 {method 'enable' of '_lsprof.Profiler' objects}
       14    2.077    0.148    2.077    0.148 {built-in method tcod._libtcod.TCOD_sys_wait_for_event}
        1    0.504    0.504    0.504    0.504 {built-in method tcod._libtcod.TCOD_console_init_root}
   132693    0.297    0.000    0.756    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/tokenize.py:487(_tokenize)
   123409    0.149    0.000    0.149    0.000 {method 'match' of 're.Pattern' objects}
   118180    0.080    0.000    0.153    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/re.py:271(_compile)
     48/1    0.059    0.001    0.825    0.825 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/pyclbr.py:179(_create_tree)
   118171    0.042    0.000    0.221    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/tokenize.py:147(_compile)
   118180    0.039    0.000    0.055    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/types.py:164(__get__)
26952/3301    0.030    0.000    0.072    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/copy.py:132(deepcopy)
   118180    0.027    0.000    0.180    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/re.py:232(compile)
   137071    0.026    0.000    0.026    0.000 {built-in method __new__ of type object at 0x10a2ec040}
   118180    0.016    0.000    0.016    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/enum.py:625(value)
     1381    0.015    0.000    0.015    0.000 {built-in method tcod._libtcod.TCOD_noise_get_fbm_ex}
   117389    0.013    0.000    0.013    0.000 {method 'span' of 're.Match' objects}
   127209    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
    93637    0.010    0.000    0.010    0.000 {method 'isidentifier' of 'str' objects}
4401/3301    0.010    0.000    0.054    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/copy.py:268(_reconstruct)
    26174    0.007    0.000    0.007    0.000 {method 'readline' of '_io.StringIO' objects}
    58501    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
     1650    0.005    0.000    0.035    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/copy.py:236(_deepcopy_dict)
     6051    0.004    0.000    0.005    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/copy.py:252(_keep_alive)
     3851    0.004    0.000    0.008    0.000 /Users/alvarosalvagno/roguelike/roguelike/esper.py:180(add_component)
        1    0.004    0.004    0.105    0.105 /Users/alvarosalvagno/roguelike/roguelike/map_generation/game_map.py:23(create_level)
      550    0.004    0.000    0.084    0.000 /Users/alvarosalvagno/roguelike/roguelike/loader_functions/factory.py:58(instantiate_entity)
36620/36332    0.004    0.000    0.004    0.000 {built-in method builtins.len}
    42364    0.004    0.000    0.004    0.000 {built-in method builtins.id}
        1    0.003    0.003    0.003    0.003 {built-in method tcod._libtcod.TCOD_console_set_custom_font}
     4401    0.003    0.000    0.003    0.000 {method '__reduce_ex__' of 'object' objects}
     3866    0.002    0.000    0.003    0.000 /Users/alvarosalvagno/roguelike/roguelike/esper.py:42(clear_cache)
    16303    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     8802    0.002    0.000    0.007    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/copy.py:273(<genexpr>)
    20901    0.002    0.000    0.002    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/copy.py:190(_deepcopy_atomic)
    189/7    0.002    0.000    0.006    0.001 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:475(_parse)
       48    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     4401    0.002    0.000    0.002    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/copyreg.py:87(__newobj__)
     1675    0.001    0.000    0.001    0.000 /usr/local/Cellar/python/3.7.2_1/Frameworks/Python.framework/Versions/3.7/lib/python3.7/pyclbr.py:54(__init__)
     8909    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
